source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[individual]	characteristics[ancestry category]	characteristics[biological replicate]	characteristics[sample type]	characteristics[sample matrix]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[file uri]	comment[platform]	comment[panel name]	comment[panel version]	comment[quantification unit]	comment[plate]	comment[normalization method]	comment[somascan menu]	comment[somascan platform]	comment[dilution]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf version]	comment[sdrf annotation tool]
PAD000036-1891-Plasma00-10	Homo sapiens	Blood	not available	not available	not available	1891	not available	11	not applicable	blood plasma	PAD000036-r00011-1891-Plasma00-10	protein expression profiling by aptamer array	1	SS-2342591_v4.1_CADRE_Cord__HeparinPlasma.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.medNormSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000036/SS-2342591_v4.1_CADRE_Cord__HeparinPlasma.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.medNormSMP.adat	SomaScan Assay	SomaScan 7K	v4.1	RFU	PLT25118	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, medNormSMP	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000036-200170	Homo sapiens	Blood	not available	not available	not available	not available	not available	12	quality control sample	blood;blood plasma;blood serum	PAD000036-r00012-200170	protein expression profiling by aptamer array	1	SS-2342591_v4.1_CADRE_Cord__HeparinPlasma.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.medNormSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000036/SS-2342591_v4.1_CADRE_Cord__HeparinPlasma.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.medNormSMP.adat	SomaScan Assay	SomaScan 7K	v4.1	RFU	PLT25118	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, medNormSMP	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000036-10421	Homo sapiens	Blood	not available	not available	not available	10421	not available	13	not applicable	blood plasma	PAD000036-r00013-10421	protein expression profiling by aptamer array	1	SS-2342591_v4.1_CADRE_Cord__HeparinPlasma.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.medNormSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000036/SS-2342591_v4.1_CADRE_Cord__HeparinPlasma.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.medNormSMP.adat	SomaScan Assay	SomaScan 7K	v4.1	RFU	PLT25118	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, medNormSMP	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000036-083	Homo sapiens	Blood	not available	not available	not available	050	not available	14	not applicable	blood plasma	PAD000036-r00014-083	protein expression profiling by aptamer array	1	SS-2342591_v4.1_CADRE_Cord__HeparinPlasma.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.medNormSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000036/SS-2342591_v4.1_CADRE_Cord__HeparinPlasma.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.medNormSMP.adat	SomaScan Assay	SomaScan 7K	v4.1	RFU	PLT25118	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, medNormSMP	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000036-10311	Homo sapiens	Blood	not available	not available	not available	2711	not available	15	not applicable	blood plasma	PAD000036-r00015-10311	protein expression profiling by aptamer array	1	SS-2342591_v4.1_CADRE_Cord__HeparinPlasma.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.medNormSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000036/SS-2342591_v4.1_CADRE_Cord__HeparinPlasma.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.medNormSMP.adat	SomaScan Assay	SomaScan 7K	v4.1	RFU	PLT25118	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, medNormSMP	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000036-782788	Homo sapiens	Blood	not available	not available	not available	2751	not available	16	not applicable	blood plasma	PAD000036-r00016-782788	protein expression profiling by aptamer array	1	SS-2342591_v4.1_CADRE_Cord__HeparinPlasma.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.medNormSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000036/SS-2342591_v4.1_CADRE_Cord__HeparinPlasma.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.medNormSMP.adat	SomaScan Assay	SomaScan 7K	v4.1	RFU	PLT25118	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, medNormSMP	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000036-782785	Homo sapiens	Blood	not available	not available	not available	11121	not available	17	not applicable	blood plasma	PAD000036-r00017-782785	protein expression profiling by aptamer array	1	SS-2342591_v4.1_CADRE_Cord__HeparinPlasma.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.medNormSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000036/SS-2342591_v4.1_CADRE_Cord__HeparinPlasma.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.medNormSMP.adat	SomaScan Assay	SomaScan 7K	v4.1	RFU	PLT25118	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, medNormSMP	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000036-10294	Homo sapiens	Blood	not available	not available	not available	10294	not available	18	not applicable	blood plasma	PAD000036-r00018-10294	protein expression profiling by aptamer array	1	SS-2342591_v4.1_CADRE_Cord__HeparinPlasma.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.medNormSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000036/SS-2342591_v4.1_CADRE_Cord__HeparinPlasma.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.medNormSMP.adat	SomaScan Assay	SomaScan 7K	v4.1	RFU	PLT25118	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, medNormSMP	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000036-782796	Homo sapiens	Blood	not available	not available	not available	10385	not available	19	not applicable	blood plasma	PAD000036-r00019-782796	protein expression profiling by aptamer array	1	SS-2342591_v4.1_CADRE_Cord__HeparinPlasma.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.medNormSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000036/SS-2342591_v4.1_CADRE_Cord__HeparinPlasma.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.medNormSMP.adat	SomaScan Assay	SomaScan 7K	v4.1	RFU	PLT25118	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, medNormSMP	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000036-200169	Homo sapiens	Blood	not available	not available	not available	not available	not available	20	calibrator	blood;blood plasma;blood serum	PAD000036-r00020-200169	protein expression profiling by aptamer array	1	SS-2342591_v4.1_CADRE_Cord__HeparinPlasma.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.medNormSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000036/SS-2342591_v4.1_CADRE_Cord__HeparinPlasma.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.medNormSMP.adat	SomaScan Assay	SomaScan 7K	v4.1	RFU	PLT25118	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, medNormSMP	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000036-3981-Plasma00-10	Homo sapiens	Blood	not available	not available	not available	3981	not available	21	not applicable	blood plasma	PAD000036-r00021-3981-Plasma00-10	protein expression profiling by aptamer array	1	SS-2342591_v4.1_CADRE_Cord__HeparinPlasma.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.medNormSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000036/SS-2342591_v4.1_CADRE_Cord__HeparinPlasma.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.medNormSMP.adat	SomaScan Assay	SomaScan 7K	v4.1	RFU	PLT25118	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, medNormSMP	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000036-227	Homo sapiens	Blood	not available	not available	not available	243	not available	22	not applicable	blood plasma	PAD000036-r00022-227	protein expression profiling by aptamer array	1	SS-2342591_v4.1_CADRE_Cord__HeparinPlasma.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.medNormSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000036/SS-2342591_v4.1_CADRE_Cord__HeparinPlasma.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.medNormSMP.adat	SomaScan Assay	SomaScan 7K	v4.1	RFU	PLT25118	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, medNormSMP	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000036-10126	Homo sapiens	Blood	not available	not available	not available	10126	not available	23	not applicable	blood plasma	PAD000036-r00023-10126	protein expression profiling by aptamer array	1	SS-2342591_v4.1_CADRE_Cord__HeparinPlasma.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.medNormSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000036/SS-2342591_v4.1_CADRE_Cord__HeparinPlasma.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.medNormSMP.adat	SomaScan Assay	SomaScan 7K	v4.1	RFU	PLT25118	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, medNormSMP	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000036-10296	Homo sapiens	Blood	not available	not available	not available	198	not available	24	not applicable	blood plasma	PAD000036-r00024-10296	protein expression profiling by aptamer array	1	SS-2342591_v4.1_CADRE_Cord__HeparinPlasma.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.medNormSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000036/SS-2342591_v4.1_CADRE_Cord__HeparinPlasma.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.medNormSMP.adat	SomaScan Assay	SomaScan 7K	v4.1	RFU	PLT25118	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, medNormSMP	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000036-782794	Homo sapiens	Blood	not available	not available	not available	10815	not available	25	not applicable	blood plasma	PAD000036-r00025-782794	protein expression profiling by aptamer array	1	SS-2342591_v4.1_CADRE_Cord__HeparinPlasma.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.medNormSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000036/SS-2342591_v4.1_CADRE_Cord__HeparinPlasma.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.medNormSMP.adat	SomaScan Assay	SomaScan 7K	v4.1	RFU	PLT25118	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, medNormSMP	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000036-10625	Homo sapiens	Blood	not available	not available	not available	10625	not available	26	not applicable	blood plasma	PAD000036-r00026-10625	protein expression profiling by aptamer array	1	SS-2342591_v4.1_CADRE_Cord__HeparinPlasma.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.medNormSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000036/SS-2342591_v4.1_CADRE_Cord__HeparinPlasma.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.medNormSMP.adat	SomaScan Assay	SomaScan 7K	v4.1	RFU	PLT25118	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, medNormSMP	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000036-782774	Homo sapiens	Blood	not available	not available	not available	10051	not available	27	not applicable	blood plasma	PAD000036-r00027-782774	protein expression profiling by aptamer array	1	SS-2342591_v4.1_CADRE_Cord__HeparinPlasma.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.medNormSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000036/SS-2342591_v4.1_CADRE_Cord__HeparinPlasma.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.medNormSMP.adat	SomaScan Assay	SomaScan 7K	v4.1	RFU	PLT25118	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, medNormSMP	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000036-782763	Homo sapiens	Blood	not available	not available	not available	10286	not available	28	not applicable	blood plasma	PAD000036-r00028-782763	protein expression profiling by aptamer array	1	SS-2342591_v4.1_CADRE_Cord__HeparinPlasma.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.medNormSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000036/SS-2342591_v4.1_CADRE_Cord__HeparinPlasma.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.medNormSMP.adat	SomaScan Assay	SomaScan 7K	v4.1	RFU	PLT25118	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, medNormSMP	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
