source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[individual]	characteristics[biological replicate]	characteristics[sample type]	characteristics[sample matrix]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[file uri]	comment[platform]	comment[panel version]	comment[quantification unit]	comment[plate]	comment[normalization method]	comment[somascan menu]	comment[somascan platform]	comment[dilution]	comment[sdrf version]	comment[sdrf annotation tool]
PAD000021-f01-r00001-30001A0P1004	Homo sapiens	Blood plasma	not available	not available	not available	1509763-30001004_A0	1	experimental sample	blood plasma	PAD000021-f01-r00001-30001A0P1004	protein expression profiling by aptamer array	1	SS-205089_v4.1_EDTAPlasma.hybNorm.medNormInt.plateScale.medNormRefSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000021/SS-205089_v4.1_EDTAPlasma.hybNorm.medNormInt.plateScale.medNormRefSMP.adat	SomaScan Assay	v4.1	RFU	P0028817	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, medNormRefSMP	SomaScan 7K	SomaScan Assay v4.1	20%	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000021-f01-r00002-30001D0P1174	Homo sapiens	Blood plasma	not available	not available	not available	1760276-30001174_D0	2	experimental sample	blood plasma	PAD000021-f01-r00002-30001D0P1174	protein expression profiling by aptamer array	1	SS-205089_v4.1_EDTAPlasma.hybNorm.medNormInt.plateScale.medNormRefSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000021/SS-205089_v4.1_EDTAPlasma.hybNorm.medNormInt.plateScale.medNormRefSMP.adat	SomaScan Assay	v4.1	RFU	P0028817	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, medNormRefSMP	SomaScan 7K	SomaScan Assay v4.1	20%	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000021-f01-r00003-30001D0P1185	Homo sapiens	Blood plasma	not available	not available	not available	1781330-30001185_D0	3	experimental sample	blood plasma	PAD000021-f01-r00003-30001D0P1185	protein expression profiling by aptamer array	1	SS-205089_v4.1_EDTAPlasma.hybNorm.medNormInt.plateScale.medNormRefSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000021/SS-205089_v4.1_EDTAPlasma.hybNorm.medNormInt.plateScale.medNormRefSMP.adat	SomaScan Assay	v4.1	RFU	P0028817	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, medNormRefSMP	SomaScan 7K	SomaScan Assay v4.1	20%	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000021-f01-r00004-30001A0P1189	Homo sapiens	Blood plasma	not available	not available	not available	1786138-30001189_A0	4	experimental sample	blood plasma	PAD000021-f01-r00004-30001A0P1189	protein expression profiling by aptamer array	1	SS-205089_v4.1_EDTAPlasma.hybNorm.medNormInt.plateScale.medNormRefSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000021/SS-205089_v4.1_EDTAPlasma.hybNorm.medNormInt.plateScale.medNormRefSMP.adat	SomaScan Assay	v4.1	RFU	P0028817	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, medNormRefSMP	SomaScan 7K	SomaScan Assay v4.1	20%	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000021-f01-r00005-30001D0P1022	Homo sapiens	Blood plasma	not available	not available	not available	1510128-30001022_D0	5	experimental sample	blood plasma	PAD000021-f01-r00005-30001D0P1022	protein expression profiling by aptamer array	1	SS-205089_v4.1_EDTAPlasma.hybNorm.medNormInt.plateScale.medNormRefSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000021/SS-205089_v4.1_EDTAPlasma.hybNorm.medNormInt.plateScale.medNormRefSMP.adat	SomaScan Assay	v4.1	RFU	P0028817	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, medNormRefSMP	SomaScan 7K	SomaScan Assay v4.1	20%	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000021-f01-r00006-200169	Homo sapiens	Blood plasma	not available	not available	not available	not available	6	calibrator sample	blood plasma	PAD000021-f01-r00006-200169	protein expression profiling by aptamer array	1	SS-205089_v4.1_EDTAPlasma.hybNorm.medNormInt.plateScale.medNormRefSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000021/SS-205089_v4.1_EDTAPlasma.hybNorm.medNormInt.plateScale.medNormRefSMP.adat	SomaScan Assay	v4.1	RFU	P0028817	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, medNormRefSMP	SomaScan 7K	SomaScan Assay v4.1	20%	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000021-f01-r00007-30001A0P1069	Homo sapiens	Blood plasma	not available	not available	not available	1440029-30001069_A0	7	experimental sample	blood plasma	PAD000021-f01-r00007-30001A0P1069	protein expression profiling by aptamer array	1	SS-205089_v4.1_EDTAPlasma.hybNorm.medNormInt.plateScale.medNormRefSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000021/SS-205089_v4.1_EDTAPlasma.hybNorm.medNormInt.plateScale.medNormRefSMP.adat	SomaScan Assay	v4.1	RFU	P0028817	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, medNormRefSMP	SomaScan 7K	SomaScan Assay v4.1	20%	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000021-f01-r00008-30001A0P1086	Homo sapiens	Blood plasma	not available	not available	not available	1515447-30001086_A0	8	experimental sample	blood plasma	PAD000021-f01-r00008-30001A0P1086	protein expression profiling by aptamer array	1	SS-205089_v4.1_EDTAPlasma.hybNorm.medNormInt.plateScale.medNormRefSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000021/SS-205089_v4.1_EDTAPlasma.hybNorm.medNormInt.plateScale.medNormRefSMP.adat	SomaScan Assay	v4.1	RFU	P0028817	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, medNormRefSMP	SomaScan 7K	SomaScan Assay v4.1	20%	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000021-f01-r00009-30001D0P1091	Homo sapiens	Blood plasma	not available	not available	not available	1554116-30001091_D0	9	experimental sample	blood plasma	PAD000021-f01-r00009-30001D0P1091	protein expression profiling by aptamer array	1	SS-205089_v4.1_EDTAPlasma.hybNorm.medNormInt.plateScale.medNormRefSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000021/SS-205089_v4.1_EDTAPlasma.hybNorm.medNormInt.plateScale.medNormRefSMP.adat	SomaScan Assay	v4.1	RFU	P0028817	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, medNormRefSMP	SomaScan 7K	SomaScan Assay v4.1	20%	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000021-f01-r00010-30001A0P1114	Homo sapiens	Blood plasma	not available	not available	not available	1647524-30001114_A0	10	experimental sample	blood plasma	PAD000021-f01-r00010-30001A0P1114	protein expression profiling by aptamer array	1	SS-205089_v4.1_EDTAPlasma.hybNorm.medNormInt.plateScale.medNormRefSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000021/SS-205089_v4.1_EDTAPlasma.hybNorm.medNormInt.plateScale.medNormRefSMP.adat	SomaScan Assay	v4.1	RFU	P0028817	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, medNormRefSMP	SomaScan 7K	SomaScan Assay v4.1	20%	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
